Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,18,0.15,1.5,0.49933421523230365
100% Corpus,18,0.15,auto,0.4674559538627917
100% Corpus,18,0.2,0.15,0.43382947925921583
100% Corpus,18,0.2,0.2,0.42886088815393847
100% Corpus,18,0.2,0.5,0.48816226991421874
100% Corpus,18,0.2,0.7,0.4760850910427551
100% Corpus,18,0.2,0.9,0.5118642518044845
100% Corpus,18,0.2,1.5,0.5324711094947071
100% Corpus,18,0.2,auto,0.45829879324859846
100% Corpus,18,0.5,0.15,0.49936000658933355
100% Corpus,18,0.5,0.2,0.4909108346465654
100% Corpus,18,0.5,0.5,0.4967438323131059
100% Corpus,18,0.5,0.7,0.5026814546563398
100% Corpus,18,0.5,0.9,0.5218964451763911
100% Corpus,18,0.5,1.5,0.5727098050970783
100% Corpus,18,0.5,auto,0.4940656164358406
100% Corpus,18,0.6,0.15,0.5098094044723859
100% Corpus,18,0.6,0.2,0.5186046419645395
100% Corpus,18,0.6,0.5,0.5097044601935301
100% Corpus,18,0.6,0.7,0.45745233098269034
100% Corpus,18,0.6,0.9,0.5472786120070589
100% Corpus,18,0.6,1.5,0.6383981773977647
100% Corpus,18,0.6,auto,0.4885914806067576
100% Corpus,18,0.7,0.15,0.5309916548237251
100% Corpus,18,0.7,0.2,0.5074166885194156
100% Corpus,18,0.7,0.5,0.5279203018928741
100% Corpus,18,0.7,0.7,0.5306975502958782
100% Corpus,18,0.7,0.9,0.6111348722088513
100% Corpus,18,0.7,1.5,0.6566277301473811
100% Corpus,18,0.7,auto,0.5185349652188134
100% Corpus,18,0.9,0.15,0.5302601661326674
100% Corpus,18,0.9,0.2,0.5201095821135326
100% Corpus,18,0.9,0.5,0.5483306649849209
100% Corpus,18,0.9,0.7,0.5761648920717524
100% Corpus,18,0.9,0.9,0.6132041090877031
100% Corpus,18,0.9,1.5,0.5516325548825411
100% Corpus,18,0.9,auto,0.5143112192940335
100% Corpus,18,1.5,0.15,0.5463437287582277
100% Corpus,18,1.5,0.2,0.540823252308254
100% Corpus,18,1.5,0.5,0.4816836094725692
100% Corpus,18,1.5,0.7,0.5005432376764121
100% Corpus,18,1.5,0.9,0.5277908356225622
100% Corpus,18,1.5,1.5,0.36495264295759444
100% Corpus,18,1.5,auto,0.5443678933774898
100% Corpus,18,1.75,0.15,0.5419536772071105
